calorien,dichtheid,gedronken,is_belgisch,is_speciaal,pct_alcohol,pct_eiwitten,pct_gist,pct_hop,recensie,suiker,water_kw,zuur,beoordeling
12.0,0.9916,7.0,0.0,0.0,6.4,12.9,1.1,13.8,5.8,1.65,0.53,0.0,7.0
55.0,0.9965,41.0,0.0,0.0,9.3,10.9,1.6,7.2,5.8,1.5,0.73,0.39,7.0
118.0,0.9908,50.0,0.0,1.0,7.1,11.2,0.78,5.6,2.6,2.8,0.59,0.26,7.0
151.0,0.9926,20.0,1.0,1.0,6.7,12.0,0.62,6.2,5.0,4.9,0.82,0.31,8.0
228.0,0.9957,31.0,0.0,1.0,7.0,9.4,0.96,6.4,4.0,6.2,0.62,0.24,7.0
105.0,0.9941,34.0,0.0,1.0,8.1,11.8,0.6,4.8,3.0,10.5,0.42,0.32,7.0
46.0,0.9933,8.0,1.0,0.0,7.2,11.8,1.3,12.4,4.7,2.3,0.51,0.01,7.0
105.0,0.9961,25.0,1.0,0.0,8.0,9.9,1.6,12.0,4.5,2.1,0.49,0.22,6.0
16.0,0.9933,8.0,0.0,0.0,6.7,12.6,1.34,14.0,5.5,3.75,0.52,0.08,6.0
98.0,0.9894,22.0,0.0,1.0,6.0,11.8,0.4,4.2,4.2,0.8,0.32,0.38,7.0
230.0,0.9949,55.0,0.0,1.0,5.8,9.8,1.04,6.2,3.6,7.5,0.46,0.31,6.0
63.0,0.9962,29.0,1.0,0.0,7.7,10.5,1.46,8.6,5.0,2.6,0.58,0.25,7.0
114.0,0.9973,21.0,0.0,0.0,8.0,9.4,1.32,11.6,3.9,3.2,0.54,0.28,7.0
81.0,0.9904,28.0,1.0,1.0,6.3,12.7,1.18,5.8,4.0,4.7,0.56,0.28,9.0
129.0,0.993,24.0,0.0,1.0,7.6,10.4,0.86,4.6,3.1,1.6,0.7,0.34,6.0
100.0,0.9904,38.0,1.0,1.0,6.6,11.2,0.88,3.8,3.9,1.1,0.69,0.28,7.0
78.0,0.993,16.0,0.0,1.0,7.1,11.4,0.66,3.8,1.5,3.6,0.78,0.28,7.0
28.0,0.9983,10.0,0.0,0.0,7.5,9.5,1.56,11.0,5.7,2.0,0.78,0.24,7.0
112.0,0.9919,22.0,0.0,1.0,7.2,11.3,0.96,8.8,3.8,3.4,0.37,0.28,8.0
110.0,0.9978,45.0,0.0,1.0,7.0,9.7,1.16,3.0,3.3,16.4,0.37,0.29,7.0
109.0,0.9901,36.0,0.0,0.0,8.0,12.7,0.98,3.6,1.3,0.9,0.44,0.37,7.0
151.0,0.9913,57.0,1.0,1.0,5.7,11.2,0.9,3.0,3.9,3.7,0.27,0.28,7.0
99.0,0.9896,31.0,0.0,1.0,6.8,12.4,0.52,6.4,2.9,3.3,0.4,0.23,7.0
31.0,0.9976,7.0,1.0,0.0,8.7,9.3,1.94,10.8,4.3,2.5,0.6,0.26,7.0
116.0,0.994,23.0,0.0,1.0,6.9,9.4,1.08,5.0,2.1,4.1,0.38,0.3,7.0
153.0,0.9994,38.0,1.0,1.0,6.8,9.0,0.78,4.4,4.0,17.5,0.42,0.35,7.0
139.0,0.9912,46.0,1.0,1.0,7.7,11.6,0.74,5.4,2.5,3.8,0.38,0.49,7.0
126.0,0.993,25.0,0.0,1.0,7.2,11.1,0.54,5.2,2.3,7.1,0.34,0.44,9.0
134.0,0.9927,34.0,1.0,1.0,6.8,10.6,0.62,5.0,3.8,4.7,0.38,0.34,7.0
12.0,0.9963,6.0,0.0,0.0,6.6,12.2,1.58,16.0,6.2,7.8,0.5,0.03,6.0
90.0,0.9916,32.0,0.0,1.0,6.6,10.7,0.7,6.8,2.9,1.3,0.42,0.28,7.0
